,Unnamed: 0,Unnamed: 0.1,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Ice Cream Shop
179,179,179,7,6,2,76.3,82.65,0.76,14.4,"Rain, Partially cloudy",7
180,180,180,7,7,3,81.7,68.77,0.0,14.3,Partially cloudy,10
181,181,181,7,8,2,86.1,61.32,0.0,13.9,Partially cloudy,8
182,182,182,7,9,6,84.9,61.88,0.0,12.1,Partially cloudy,23
183,183,183,7,10,8,80.9,63.84,0.0,11.5,Partially cloudy,29
184,184,184,7,11,6,78.7,71.17,0.14,13.8,"Rain, Partially cloudy",22
185,185,185,7,12,6,79.1,70.25,0.0,14.4,Partially cloudy,19
186,186,186,7,13,5,81.6,61.68,0.0,10.4,Partially cloudy,16
187,187,187,7,14,3,83.0,61.01,0.0,12.1,Partially cloudy,9
188,188,188,7,15,9,81.0,65.0,0.0,9.9,Partially cloudy,34
189,189,189,7,17,4,80.8,69.14,0.0,9.2,Partially cloudy,16
190,190,190,7,18,6,82.2,68.75,0.01,11.5,"Rain, Partially cloudy",19
191,191,191,7,19,4,83.1,67.93,0.28,11.5,"Rain, Partially cloudy",16
192,192,192,7,20,3,82.7,68.38,0.09,12.2,"Rain, Partially cloudy",10
193,193,193,7,21,4,80.7,71.39,0.03,17.8,"Rain, Partially cloudy",14
194,194,194,7,22,2,81.0,70.77,0.0,8.6,Partially cloudy,6
195,195,195,7,23,8,82.7,68.69,0.0,9.7,Partially cloudy,29
196,196,196,7,24,7,83.9,66.25,0.0,9.9,Partially cloudy,23
197,197,197,7,25,9,84.1,64.91,0.27,8.6,"Rain, Partially cloudy",33
198,198,198,7,26,2,84.4,65.37,0.11,11.5,Rain,8
199,199,199,7,27,3,82.4,68.23,0.0,10.9,Partially cloudy,11
200,200,200,7,28,4,80.3,69.16,0.04,13.2,"Rain, Partially cloudy",14
201,201,201,7,29,3,81.6,70.14,0.0,13.8,Partially cloudy,11
202,202,202,7,30,3,78.6,80.29,0.76,8.6,"Rain, Partially cloudy",11
203,203,203,7,31,3,78.0,82.01,0.22,9.8,"Rain, Partially cloudy",11
204,204,204,8,2,4,77.7,85.87,0.12,13.9,"Rain, Partially cloudy",15
205,205,205,8,3,3,81.5,73.02,0.0,10.4,Partially cloudy,12
206,206,206,8,4,2,81.7,74.66,0.18,9.7,"Rain, Partially cloudy",6
207,207,207,8,6,2,83.7,67.23,0.0,10.9,Partially cloudy,7
