,Month,Day,Crime Count,Avg_Temp,Humidity,Precip,Wind_Speed,Conditions,Ice Cream Shop
140,5,20,31,64.3,88.74,0.09,13.9,"Rain, Overcast",107
141,5,21,31,69.8,74.38,0.13,20.2,"Rain, Partially cloudy",106
142,5,22,21,67.5,55.44,0.0,17.4,Clear,73
143,5,23,24,69.5,50.8,0.0,15.0,Clear,79
144,5,24,29,71.6,54.49,0.0,8.6,Partially cloudy,97
145,5,25,19,74.8,51.92,0.0,9.7,Clear,66
146,5,26,23,77.0,58.37,0.01,9.2,"Rain, Partially cloudy",76
147,5,27,21,76.3,60.46,0.0,14.4,Partially cloudy,69
148,5,28,34,76.1,53.09,0.0,10.4,Clear,116
149,5,29,26,76.9,58.44,0.0,10.4,Partially cloudy,86
150,5,30,47,78.9,57.34,0.0,11.0,Partially cloudy,154
151,5,31,34,80.1,54.43,0.0,8.1,Partially cloudy,117
152,6,1,22,78.0,63.2,0.0,12.1,Partially cloudy,68
153,6,2,20,78.2,65.9,0.03,12.1,"Rain, Partially cloudy",68
154,6,3,25,80.6,61.73,0.0,9.7,Partially cloudy,80
155,6,4,18,79.6,63.46,0.0,13.3,Partially cloudy,59
156,6,5,23,75.4,78.82,0.14,8.6,"Rain, Overcast",75
157,6,6,19,75.6,80.35,0.6,6.9,"Rain, Partially cloudy",69
158,6,7,16,78.6,63.68,0.13,16.1,"Rain, Partially cloudy",52
159,6,8,25,74.7,46.5,0.0,12.1,Clear,76
160,6,9,28,74.5,50.76,0.0,7.5,Partially cloudy,99
161,6,10,15,80.4,47.17,0.0,8.6,Partially cloudy,52
162,6,11,33,82.4,51.95,0.0,8.1,Partially cloudy,114
163,6,12,18,83.3,61.45,0.0,12.1,Partially cloudy,66
164,6,13,37,85.3,56.89,0.0,12.1,Clear,129
165,6,14,23,79.8,70.94,0.99,15.5,"Rain, Partially cloudy",80
166,6,15,40,78.9,76.25,0.25,18.3,"Rain, Partially cloudy",141
167,6,16,29,81.4,63.47,0.16,12.1,"Rain, Partially cloudy",102
168,6,17,27,78.0,73.59,0.1,16.7,"Rain, Partially cloudy",93
169,6,18,30,75.7,67.01,0.0,19.6,Overcast,98
170,6,19,30,75.7,53.67,0.0,13.8,Partially cloudy,100
171,6,20,23,75.5,53.62,0.0,5.8,Partially cloudy,76
172,6,21,23,79.8,52.24,0.0,10.3,Partially cloudy,77
173,6,22,27,82.2,52.47,0.0,14.4,Partially cloudy,90
174,6,23,17,83.0,54.92,0.0,12.7,Clear,59
175,6,24,19,84.7,55.51,0.0,12.1,Partially cloudy,67
176,6,25,20,87.3,55.26,0.0,12.7,Partially cloudy,75
177,6,26,22,79.4,69.21,0.36,12.6,"Rain, Partially cloudy",78
178,6,27,29,80.6,68.85,0.25,20.1,"Rain, Partially cloudy",99
179,6,28,26,78.2,75.56,0.36,15.0,"Rain, Partially cloudy",91
180,6,29,37,81.6,61.52,0.0,9.2,Partially cloudy,138
181,6,30,30,81.8,56.67,0.0,17.3,Partially cloudy,107
182,7,1,21,83.1,57.13,0.0,13.2,Partially cloudy,72
183,7,2,19,84.5,51.39,0.0,10.8,Partially cloudy,60
184,7,3,30,84.0,56.2,0.07,15.2,"Rain, Partially cloudy",101
185,7,4,21,84.3,64.56,0.02,12.7,"Rain, Partially cloudy",76
186,7,5,29,79.2,79.38,0.56,16.1,"Rain, Partially cloudy",102
187,7,6,15,76.3,82.65,0.76,14.4,"Rain, Partially cloudy",57
188,7,7,34,81.7,68.77,0.0,14.3,Partially cloudy,126
189,7,8,20,86.1,61.32,0.0,13.9,Partially cloudy,65
190,7,9,25,84.9,61.88,0.0,12.1,Partially cloudy,90
191,7,10,28,80.9,63.84,0.0,11.5,Partially cloudy,95
192,7,11,42,78.7,71.17,0.14,13.8,"Rain, Partially cloudy",150
193,7,12,14,79.1,70.25,0.0,14.4,Partially cloudy,50
194,7,13,18,81.6,61.68,0.0,10.4,Partially cloudy,63
195,7,14,22,83.0,61.01,0.0,12.1,Partially cloudy,77
196,7,15,21,81.0,65.0,0.0,9.9,Partially cloudy,75
197,7,16,26,80.4,67.92,0.0,12.8,Partially cloudy,88
198,7,17,31,80.8,69.14,0.0,9.2,Partially cloudy,103
199,7,18,23,82.2,68.75,0.01,11.5,"Rain, Partially cloudy",81
200,7,19,40,83.1,67.93,0.28,11.5,"Rain, Partially cloudy",135
201,7,20,27,82.7,68.38,0.09,12.2,"Rain, Partially cloudy",90
202,7,21,37,80.7,71.39,0.03,17.8,"Rain, Partially cloudy",128
203,7,22,26,81.0,70.77,0.0,8.6,Partially cloudy,89
204,7,23,27,82.7,68.69,0.0,9.7,Partially cloudy,92
205,7,24,36,83.9,66.25,0.0,9.9,Partially cloudy,130
206,7,25,31,84.1,64.91,0.27,8.6,"Rain, Partially cloudy",102
207,7,26,24,84.4,65.37,0.11,11.5,Rain,88
208,7,27,30,82.4,68.23,0.0,10.9,Partially cloudy,105
209,7,28,27,80.3,69.16,0.04,13.2,"Rain, Partially cloudy",88
210,7,29,23,81.6,70.14,0.0,13.8,Partially cloudy,80
211,7,30,35,78.6,80.29,0.76,8.6,"Rain, Partially cloudy",122
212,7,31,31,78.0,82.01,0.22,9.8,"Rain, Partially cloudy",113
213,8,1,33,78.5,81.47,0.01,10.8,"Rain, Partially cloudy",117
214,8,2,27,77.7,85.87,0.12,13.9,"Rain, Partially cloudy",87
215,8,3,42,81.5,73.02,0.0,10.4,Partially cloudy,136
216,8,4,25,81.7,74.66,0.18,9.7,"Rain, Partially cloudy",83
217,8,5,31,81.5,74.23,0.01,12.7,"Rain, Partially cloudy",101
218,8,6,28,83.7,67.23,0.0,10.9,Partially cloudy,101
219,8,7,21,83.2,73.19,0.16,12.1,"Rain, Partially cloudy",67
220,8,8,29,81.3,75.54,0.05,11.0,"Rain, Overcast",100
221,8,9,25,79.9,79.65,0.21,12.7,"Rain, Overcast",78
222,8,10,32,79.6,79.07,0.16,11.0,"Rain, Overcast",98
223,8,11,32,81.9,71.03,0.0,10.9,Partially cloudy,108
224,8,12,13,83.0,70.08,0.0,12.1,Partially cloudy,47
225,8,13,39,81.1,71.6,0.03,9.2,"Rain, Partially cloudy",123
226,8,14,36,82.3,66.64,0.0,9.7,Partially cloudy,115
227,8,15,22,82.6,63.58,0.0,11.0,Partially cloudy,76
228,8,16,41,81.3,71.8,0.0,9.9,Partially cloudy,133
229,8,17,25,83.1,66.51,0.01,9.9,"Rain, Partially cloudy",83
230,8,18,30,81.2,71.41,0.08,14.4,"Rain, Partially cloudy",105
231,8,19,48,78.8,78.63,0.44,9.7,"Rain, Partially cloudy",153
232,8,20,41,78.8,80.45,0.02,11.0,"Rain, Partially cloudy",138
233,8,21,37,78.4,83.01,0.36,13.9,"Rain, Partially cloudy",130
234,8,22,43,79.1,68.9,0.0,10.3,Partially cloudy,150
235,8,23,34,80.9,63.05,0.0,8.1,Partially cloudy,109
236,8,24,30,77.7,83.42,1.05,13.5,"Rain, Partially cloudy",106
237,8,25,26,80.4,72.07,0.0,6.9,Clear,91
238,8,26,23,83.4,65.76,0.01,8.1,"Rain, Partially cloudy",75
239,8,27,35,82.7,67.3,0.0,13.3,Partially cloudy,122
240,8,28,29,82.1,68.14,0.0,10.9,Partially cloudy,102
241,8,29,37,81.5,63.36,0.0,12.8,Partially cloudy,131
242,8,30,28,80.7,64.33,0.0,13.9,Clear,99
243,8,31,20,81.6,63.31,0.0,10.3,Clear,69
244,9,1,31,80.6,70.03,0.65,8.1,"Rain, Partially cloudy",103
245,9,2,23,76.0,79.55,1.16,14.5,"Rain, Overcast",80
246,9,3,41,74.2,62.36,0.0,8.1,Partially cloudy,132
247,9,4,34,75.9,66.62,0.0,11.5,Partially cloudy,111
248,9,5,32,77.1,65.16,0.0,6.4,Clear,108
249,9,6,41,78.2,61.86,0.0,7.5,Clear,133
250,9,7,14,79.4,57.4,0.0,6.9,Clear,43
251,9,8,26,79.7,57.16,0.0,9.2,Partially cloudy,85
252,9,9,31,80.4,55.9,0.0,9.9,Partially cloudy,106
253,9,10,44,80.1,57.95,0.0,9.2,Partially cloudy,147
